Avg Speed (km/h),Distance (km),Road Type,Battery (kWh),Top Speed (km/h),Range_per_Charge,Bus Type,Charger Type,Passenger Capacity
40,264,Highway,400,92,315,Standard City Bus,Fast DC,65
30,235,Urban,424,90,354,Articulated Bus,Fast DC,80
27,180,Rural,332,83,237,Mini Bus,Fast DC,34
38,179,Urban,284,89,199,Mini Bus,Depot,33
28,130,Rural,367,78,278,Standard City Bus,Depot,51
42,245,Highway,303,92,251,Mini Bus,Fast DC,26
30,187,Rural,418,79,298,Articulated Bus,Pantograph,91
43,229,Highway,299,99,233,Mini Bus,Fast DC,34
26,161,Rural,385,72,298,Standard City Bus,Depot,59
52,293,Highway,401,97,282,Standard City Bus,Depot,54
34,183,Urban,332,93,253,Mini Bus,Pantograph,32
46,226,Highway,322,93,248,Mini Bus,Pantograph,32
53,256,Highway,394,113,299,Articulated Bus,Depot,81
34,138,Rural,434,86,347,Articulated Bus,Pantograph,89
33,197,Rural,423,91,350,Double Decker Bus,Depot,83
48,269,Highway,302,107,234,Mini Bus,Pantograph,31
52,273,Highway,429,111,335,Articulated Bus,Pantograph,90
53,270,Highway,324,110,256,Mini Bus,Fast DC,31
35,141,Rural,461,87,356,Double Decker Bus,Pantograph,82
25,166,Rural,412,79,333,Standard City Bus,Fast DC,57
51,235,Highway,292,96,212,Mini Bus,Depot,29
32,210,Urban,395,81,307,Articulated Bus,Fast DC,88
29,190,Rural,407,86,332,Standard City Bus,Pantograph,50
30,194,Urban,440,82,319,Double Decker Bus,Fast DC,72
33,137,Rural,280,87,215,Mini Bus,Fast DC,27
35,219,Urban,477,80,350,Double Decker Bus,Fast DC,70
47,245,Highway,422,103,295,Articulated Bus,Pantograph,88
48,278,Highway,333,96,277,Mini Bus,Fast DC,31
31,148,Rural,464,88,342,Double Decker Bus,Depot,74
27,147,Rural,388,76,324,Standard City Bus,Depot,59
28,190,Rural,425,77,327,Articulated Bus,Depot,92
26,170,Rural,417,83,294,Articulated Bus,Fast DC,93
50,281,Highway,446,108,342,Articulated Bus,Pantograph,82
35,189,Rural,337,87,272,Mini Bus,Depot,31
37,186,Urban,285,86,241,Mini Bus,Depot,26
33,185,Urban,436,88,334,Articulated Bus,Depot,94
39,212,Urban,382,99,301,Standard City Bus,Fast DC,55
41,267,Highway,479,88,380,Double Decker Bus,Fast DC,75
29,159,Rural,297,75,222,Mini Bus,Fast DC,27
30,144,Rural,328,75,255,Mini Bus,Depot,34
48,255,Highway,385,104,295,Standard City Bus,Depot,65
48,249,Highway,382,100,319,Standard City Bus,Depot,55
51,290,Highway,321,106,262,Mini Bus,Depot,30
25,193,Rural,378,73,282,Standard City Bus,Pantograph,60
40,174,Urban,430,89,310,Double Decker Bus,Depot,78
46,242,Highway,298,101,238,Mini Bus,Fast DC,31
25,136,Rural,426,82,348,Articulated Bus,Pantograph,91
35,181,Urban,297,84,226,Mini Bus,Depot,25
40,232,Highway,307,98,244,Mini Bus,Fast DC,28
39,178,Urban,392,90,310,Standard City Bus,Pantograph,63
31,154,Rural,393,83,304,Articulated Bus,Fast DC,85
30,161,Rural,445,77,316,Double Decker Bus,Depot,80
31,239,Urban,311,88,233,Mini Bus,Fast DC,34
42,300,Highway,331,90,257,Mini Bus,Pantograph,26
41,284,Highway,375,95,265,Standard City Bus,Fast DC,61
43,244,Highway,396,96,305,Articulated Bus,Pantograph,82
45,263,Highway,415,98,291,Standard City Bus,Fast DC,52
49,225,Highway,457,99,378,Double Decker Bus,Pantograph,78
34,169,Rural,407,85,285,Articulated Bus,Pantograph,93
50,288,Highway,325,95,234,Mini Bus,Depot,31
26,193,Rural,422,83,309,Double Decker Bus,Depot,71
40,233,Highway,369,93,285,Standard City Bus,Fast DC,51
45,262,Highway,327,91,272,Mini Bus,Fast DC,33
37,174,Urban,468,86,383,Double Decker Bus,Pantograph,82
32,170,Urban,386,77,292,Standard City Bus,Depot,58
29,159,Rural,460,86,337,Articulated Bus,Depot,89
28,195,Rural,401,86,332,Articulated Bus,Depot,89
54,249,Highway,328,112,258,Mini Bus,Depot,27
31,146,Rural,337,82,283,Mini Bus,Fast DC,34
38,173,Urban,376,86,295,Standard City Bus,Fast DC,62
26,199,Rural,302,74,244,Mini Bus,Pantograph,31
28,156,Rural,447,75,361,Articulated Bus,Depot,84
26,133,Rural,381,72,283,Standard City Bus,Fast DC,65
30,175,Urban,460,90,368,Double Decker Bus,Fast DC,72
25,177,Rural,321,85,249,Mini Bus,Fast DC,28
34,240,Urban,414,88,314,Articulated Bus,Depot,91
28,135,Rural,301,86,227,Mini Bus,Depot,30
47,261,Highway,475,94,343,Double Decker Bus,Fast DC,75
26,130,Rural,442,71,332,Double Decker Bus,Pantograph,84
30,200,Urban,305,80,249,Mini Bus,Pantograph,28
45,231,Highway,407,102,328,Articulated Bus,Depot,95
53,296,Highway,309,98,218,Mini Bus,Depot,31
44,284,Highway,452,104,336,Articulated Bus,Pantograph,90
45,287,Highway,430,95,358,Articulated Bus,Depot,91
30,165,Rural,339,84,261,Mini Bus,Fast DC,28
40,283,Highway,406,100,298,Standard City Bus,Fast DC,60
48,223,Highway,428,99,325,Articulated Bus,Depot,86
42,243,Highway,451,95,320,Double Decker Bus,Depot,76
46,263,Highway,339,94,261,Mini Bus,Pantograph,25
47,239,Highway,412,100,335,Standard City Bus,Pantograph,65
33,182,Rural,401,81,315,Standard City Bus,Depot,50
47,264,Highway,329,98,234,Mini Bus,Pantograph,29
27,158,Rural,322,87,227,Mini Bus,Fast DC,32
45,233,Highway,457,98,361,Double Decker Bus,Pantograph,79
33,192,Rural,471,78,368,Double Decker Bus,Depot,80
25,164,Rural,466,71,335,Double Decker Bus,Depot,78
54,271,Highway,395,109,296,Standard City Bus,Fast DC,55
40,244,Highway,428,93,324,Double Decker Bus,Pantograph,72
26,192,Rural,404,81,288,Standard City Bus,Depot,58
41,281,Highway,464,88,366,Double Decker Bus,Fast DC,74
32,145,Rural,365,92,284,Standard City Bus,Pantograph,54
27,173,Rural,373,86,308,Standard City Bus,Depot,51
39,218,Urban,423,93,358,Articulated Bus,Pantograph,91
53,227,Highway,444,112,347,Articulated Bus,Pantograph,81
29,194,Rural,409,82,347,Standard City Bus,Fast DC,64
52,298,Highway,462,109,379,Double Decker Bus,Pantograph,70
33,216,Urban,415,93,295,Articulated Bus,Pantograph,95
38,171,Urban,474,86,401,Double Decker Bus,Fast DC,71
47,236,Highway,406,92,299,Articulated Bus,Depot,80
33,171,Rural,474,87,337,Double Decker Bus,Pantograph,82
27,177,Rural,368,76,268,Standard City Bus,Pantograph,62
41,271,Highway,412,93,326,Articulated Bus,Depot,94
26,148,Rural,363,78,304,Standard City Bus,Fast DC,50
30,136,Rural,321,76,243,Mini Bus,Pantograph,26
33,228,Urban,395,91,306,Articulated Bus,Fast DC,90
48,222,Highway,418,102,313,Articulated Bus,Depot,86
55,228,Highway,410,114,325,Standard City Bus,Pantograph,50
47,286,Highway,407,96,341,Articulated Bus,Fast DC,91
54,291,Highway,426,99,332,Articulated Bus,Pantograph,91
45,252,Highway,400,104,304,Standard City Bus,Depot,54
26,156,Rural,386,77,324,Standard City Bus,Fast DC,60
40,241,Highway,338,87,253,Mini Bus,Depot,29
41,240,Highway,411,89,315,Standard City Bus,Fast DC,58
32,180,Rural,422,77,329,Double Decker Bus,Fast DC,82
36,214,Urban,426,85,347,Double Decker Bus,Pantograph,83
49,271,Highway,289,96,222,Mini Bus,Fast DC,28
50,292,Highway,379,105,299,Standard City Bus,Depot,53
44,293,Highway,414,99,349,Articulated Bus,Depot,93
36,211,Urban,314,90,252,Mini Bus,Pantograph,28
40,188,Urban,443,97,335,Double Decker Bus,Depot,72
54,237,Highway,284,114,204,Mini Bus,Pantograph,26
28,164,Rural,414,77,296,Standard City Bus,Pantograph,60
34,170,Rural,327,89,236,Mini Bus,Fast DC,25
29,170,Rural,368,88,264,Standard City Bus,Pantograph,64
39,193,Urban,308,95,259,Mini Bus,Pantograph,27
49,280,Highway,394,94,315,Standard City Bus,Depot,55
40,174,Urban,315,94,224,Mini Bus,Pantograph,27
26,163,Rural,312,80,239,Mini Bus,Pantograph,34
38,206,Urban,311,95,258,Mini Bus,Depot,35
27,133,Rural,410,79,311,Standard City Bus,Depot,56
26,138,Rural,403,82,331,Standard City Bus,Fast DC,54
31,219,Urban,418,89,330,Articulated Bus,Depot,83
39,224,Urban,317,90,228,Mini Bus,Depot,26
31,198,Rural,428,84,356,Articulated Bus,Fast DC,91
30,196,Urban,477,78,392,Double Decker Bus,Depot,72
46,251,Highway,414,96,334,Standard City Bus,Pantograph,51
27,167,Rural,442,72,321,Double Decker Bus,Pantograph,76
31,155,Rural,476,88,391,Double Decker Bus,Depot,84
55,259,Highway,435,113,318,Articulated Bus,Depot,88
32,178,Rural,297,82,211,Mini Bus,Pantograph,33
26,154,Rural,287,79,202,Mini Bus,Fast DC,26
55,224,Highway,395,109,294,Standard City Bus,Depot,65
34,164,Rural,465,84,383,Double Decker Bus,Pantograph,83
42,287,Highway,419,99,341,Articulated Bus,Pantograph,82
30,139,Rural,373,77,296,Standard City Bus,Pantograph,59
30,141,Rural,465,75,373,Double Decker Bus,Pantograph,73
37,231,Urban,369,92,259,Standard City Bus,Pantograph,58
41,223,Highway,436,95,311,Articulated Bus,Fast DC,94
33,152,Rural,339,81,250,Mini Bus,Pantograph,29
30,179,Rural,436,81,325,Articulated Bus,Depot,94
34,164,Rural,421,91,329,Double Decker Bus,Fast DC,73
44,284,Highway,440,103,353,Double Decker Bus,Pantograph,71
52,241,Highway,403,108,290,Articulated Bus,Pantograph,82
45,289,Highway,335,99,284,Mini Bus,Depot,27
29,199,Rural,385,79,323,Standard City Bus,Depot,63
34,139,Rural,319,83,266,Mini Bus,Fast DC,31
35,144,Rural,455,94,357,Double Decker Bus,Depot,82
35,131,Rural,455,90,358,Articulated Bus,Pantograph,83
39,227,Urban,429,93,309,Articulated Bus,Depot,95
48,254,Highway,442,104,313,Articulated Bus,Pantograph,82
50,236,Highway,424,100,315,Double Decker Bus,Depot,79
25,177,Rural,466,75,349,Double Decker Bus,Pantograph,83
27,198,Rural,313,83,234,Mini Bus,Fast DC,26
40,238,Urban,368,96,291,Standard City Bus,Fast DC,60
37,214,Urban,441,87,350,Double Decker Bus,Fast DC,75
41,248,Highway,479,96,404,Double Decker Bus,Fast DC,70
27,176,Rural,314,85,249,Mini Bus,Fast DC,28
34,159,Rural,363,93,285,Standard City Bus,Depot,55
47,299,Highway,419,96,295,Standard City Bus,Pantograph,57
32,210,Urban,389,81,282,Standard City Bus,Pantograph,54
37,217,Urban,391,94,302,Standard City Bus,Depot,65
50,251,Highway,283,103,233,Mini Bus,Pantograph,29
44,225,Highway,392,102,324,Standard City Bus,Fast DC,56
40,287,Highway,394,96,298,Standard City Bus,Pantograph,58
31,199,Urban,289,88,210,Mini Bus,Fast DC,30
33,133,Rural,372,91,301,Standard City Bus,Depot,64
26,160,Rural,420,81,326,Standard City Bus,Pantograph,56
33,233,Urban,447,85,317,Articulated Bus,Depot,89
33,193,Rural,364,81,261,Standard City Bus,Fast DC,53
35,173,Rural,457,80,365,Articulated Bus,Depot,87
37,178,Urban,308,82,229,Mini Bus,Depot,26
33,201,Urban,305,92,233,Mini Bus,Depot,31
42,298,Highway,340,91,286,Mini Bus,Depot,32
26,174,Rural,331,76,244,Mini Bus,Pantograph,31
31,160,Rural,451,81,320,Articulated Bus,Pantograph,87
26,132,Rural,280,73,228,Mini Bus,Pantograph,28
44,227,Highway,432,97,306,Double Decker Bus,Depot,82
35,172,Rural,333,81,279,Mini Bus,Depot,25
46,252,Highway,463,99,327,Double Decker Bus,Fast DC,76
36,229,Urban,390,83,296,Articulated Bus,Pantograph,85
50,228,Highway,410,96,290,Articulated Bus,Pantograph,87
40,290,Highway,460,93,378,Double Decker Bus,Pantograph,72
31,133,Rural,292,86,212,Mini Bus,Fast DC,32
51,237,Highway,425,100,329,Articulated Bus,Depot,95
41,255,Highway,404,87,309,Standard City Bus,Depot,62
40,222,Urban,413,86,344,Standard City Bus,Pantograph,54
29,198,Rural,433,82,346,Double Decker Bus,Fast DC,85
42,224,Highway,395,88,311,Standard City Bus,Pantograph,60
38,188,Urban,406,93,312,Standard City Bus,Depot,60
25,163,Rural,429,77,332,Articulated Bus,Pantograph,95
39,234,Urban,319,96,270,Mini Bus,Pantograph,32
31,195,Urban,457,86,382,Articulated Bus,Depot,84
35,203,Urban,458,91,363,Double Decker Bus,Depot,76
55,279,Highway,363,108,290,Standard City Bus,Depot,54
34,215,Urban,300,87,227,Mini Bus,Pantograph,31
48,279,Highway,423,95,344,Articulated Bus,Pantograph,95
48,234,Highway,448,104,347,Articulated Bus,Depot,83
50,250,Highway,314,106,247,Mini Bus,Depot,30
34,213,Urban,280,88,221,Mini Bus,Fast DC,32
35,218,Urban,319,92,224,Mini Bus,Fast DC,30
26,172,Rural,466,76,393,Double Decker Bus,Fast DC,75
36,211,Urban,331,89,236,Mini Bus,Pantograph,35
47,230,Highway,330,96,239,Mini Bus,Fast DC,26
34,200,Rural,410,93,293,Articulated Bus,Pantograph,83
37,203,Urban,288,88,224,Mini Bus,Depot,33
44,248,Highway,442,94,349,Double Decker Bus,Depot,71
40,195,Urban,317,99,241,Mini Bus,Fast DC,29
35,179,Rural,319,80,237,Mini Bus,Pantograph,26
35,182,Urban,434,80,319,Articulated Bus,Pantograph,89
49,220,Highway,428,102,316,Articulated Bus,Depot,82
32,228,Urban,438,78,335,Double Decker Bus,Depot,81
34,198,Urban,372,81,273,Standard City Bus,Depot,53
31,137,Rural,410,78,302,Standard City Bus,Fast DC,54
41,288,Highway,324,101,266,Mini Bus,Pantograph,25
40,182,Urban,428,86,361,Double Decker Bus,Pantograph,71
27,167,Rural,444,87,368,Double Decker Bus,Fast DC,84
35,133,Rural,476,81,362,Double Decker Bus,Pantograph,83
48,220,Highway,443,93,336,Double Decker Bus,Fast DC,71
27,147,Rural,395,86,285,Standard City Bus,Depot,62
30,147,Rural,420,84,294,Articulated Bus,Depot,89
53,283,Highway,362,98,292,Standard City Bus,Pantograph,57
43,232,Highway,384,97,296,Standard City Bus,Fast DC,50
28,193,Rural,446,80,365,Double Decker Bus,Depot,84
27,179,Rural,410,72,331,Standard City Bus,Fast DC,61
32,196,Urban,439,86,349,Articulated Bus,Pantograph,85
49,222,Highway,294,105,246,Mini Bus,Depot,32
36,229,Urban,327,81,245,Mini Bus,Fast DC,29
41,272,Highway,289,101,243,Mini Bus,Pantograph,29
32,151,Rural,398,83,313,Articulated Bus,Fast DC,81
48,234,Highway,396,95,333,Standard City Bus,Depot,55
52,234,Highway,440,112,363,Double Decker Bus,Depot,82
42,287,Highway,454,100,342,Articulated Bus,Fast DC,85
32,227,Urban,376,85,271,Standard City Bus,Pantograph,58
26,166,Rural,443,84,348,Double Decker Bus,Fast DC,72
34,174,Rural,329,85,278,Mini Bus,Depot,31
44,255,Highway,411,101,306,Standard City Bus,Depot,55
37,223,Urban,282,85,223,Mini Bus,Fast DC,30
34,199,Rural,431,80,307,Articulated Bus,Depot,88
52,274,Highway,415,105,331,Articulated Bus,Depot,84
47,255,Highway,376,96,312,Standard City Bus,Depot,59
31,173,Urban,423,91,320,Double Decker Bus,Fast DC,79
49,221,Highway,383,99,320,Standard City Bus,Pantograph,51
41,243,Highway,374,97,303,Standard City Bus,Depot,57
32,225,Urban,402,89,309,Standard City Bus,Fast DC,64
31,149,Rural,389,77,319,Standard City Bus,Fast DC,59
29,170,Rural,328,89,259,Mini Bus,Fast DC,33
33,174,Urban,328,79,244,Mini Bus,Fast DC,33
31,191,Urban,325,86,261,Mini Bus,Pantograph,30
30,224,Urban,361,82,294,Standard City Bus,Fast DC,58
51,244,Highway,476,97,391,Double Decker Bus,Pantograph,83
30,174,Rural,308,86,251,Mini Bus,Fast DC,31
32,239,Urban,445,89,370,Double Decker Bus,Fast DC,80
28,165,Rural,411,80,307,Standard City Bus,Fast DC,58
34,175,Urban,395,82,286,Articulated Bus,Depot,89
44,223,Highway,450,97,359,Articulated Bus,Depot,86
35,166,Rural,429,93,352,Articulated Bus,Depot,81
34,175,Rural,425,92,324,Double Decker Bus,Pantograph,75
33,187,Urban,407,86,338,Articulated Bus,Pantograph,86
52,273,Highway,431,112,354,Double Decker Bus,Fast DC,72
39,237,Urban,399,84,310,Articulated Bus,Depot,85
31,237,Urban,413,82,300,Articulated Bus,Pantograph,89
28,151,Rural,395,77,292,Standard City Bus,Depot,61
45,241,Highway,466,92,373,Double Decker Bus,Fast DC,85
35,136,Rural,393,81,280,Articulated Bus,Pantograph,91
31,210,Urban,436,88,333,Articulated Bus,Fast DC,91
37,212,Urban,401,86,339,Articulated Bus,Fast DC,92
33,186,Rural,422,86,309,Articulated Bus,Fast DC,93
42,269,Highway,435,100,304,Double Decker Bus,Depot,85
51,228,Highway,465,108,394,Double Decker Bus,Pantograph,81
27,164,Rural,294,73,231,Mini Bus,Fast DC,34
55,248,Highway,463,104,366,Double Decker Bus,Pantograph,82
38,233,Urban,317,94,239,Mini Bus,Pantograph,33
31,194,Rural,435,82,340,Articulated Bus,Pantograph,86
25,195,Rural,420,70,346,Standard City Bus,Fast DC,53
39,221,Urban,386,88,283,Standard City Bus,Fast DC,62
55,243,Highway,300,106,253,Mini Bus,Pantograph,26
54,240,Highway,292,113,221,Mini Bus,Fast DC,27
42,229,Highway,475,87,392,Double Decker Bus,Depot,84
37,204,Urban,445,84,322,Double Decker Bus,Pantograph,82
38,173,Urban,392,87,320,Standard City Bus,Fast DC,54
52,254,Highway,369,102,279,Standard City Bus,Depot,58
33,150,Rural,315,92,259,Mini Bus,Fast DC,26
49,267,Highway,449,95,334,Articulated Bus,Pantograph,83
32,226,Urban,396,91,325,Articulated Bus,Depot,81
44,255,Highway,383,97,276,Standard City Bus,Fast DC,53
53,259,Highway,412,98,324,Articulated Bus,Depot,83
54,277,Highway,397,103,297,Articulated Bus,Depot,90
39,173,Urban,414,91,300,Articulated Bus,Fast DC,81
25,149,Rural,383,82,273,Standard City Bus,Pantograph,60
27,185,Rural,424,79,355,Double Decker Bus,Fast DC,85
46,231,Highway,326,102,239,Mini Bus,Depot,32
37,237,Urban,419,97,320,Standard City Bus,Pantograph,60
31,190,Urban,387,87,307,Standard City Bus,Fast DC,64
44,282,Highway,450,92,331,Articulated Bus,Pantograph,87
26,189,Rural,429,84,345,Articulated Bus,Depot,89
50,294,Highway,412,101,305,Standard City Bus,Depot,57
30,181,Rural,463,81,327,Double Decker Bus,Depot,75
30,139,Rural,329,77,237,Mini Bus,Depot,32
40,222,Urban,431,89,353,Articulated Bus,Pantograph,87
37,211,Urban,406,82,303,Articulated Bus,Fast DC,86
37,200,Urban,385,82,295,Standard City Bus,Pantograph,59
26,170,Rural,412,74,348,Standard City Bus,Pantograph,57
38,217,Urban,338,87,281,Mini Bus,Pantograph,27
55,247,Highway,398,102,326,Articulated Bus,Fast DC,81
33,177,Rural,282,78,212,Mini Bus,Pantograph,33
50,292,Highway,422,110,316,Articulated Bus,Pantograph,84
31,175,Rural,300,77,230,Mini Bus,Fast DC,27
30,138,Rural,436,85,308,Articulated Bus,Fast DC,94
37,227,Urban,332,86,273,Mini Bus,Pantograph,31
51,285,Highway,432,107,317,Articulated Bus,Fast DC,89
34,240,Urban,336,89,249,Mini Bus,Fast DC,26
28,158,Rural,401,74,315,Standard City Bus,Pantograph,62
53,289,Highway,312,109,253,Mini Bus,Pantograph,30
42,259,Highway,299,102,215,Mini Bus,Fast DC,32
26,185,Rural,455,81,359,Articulated Bus,Pantograph,84
36,202,Urban,413,95,344,Articulated Bus,Pantograph,86
36,171,Urban,287,88,233,Mini Bus,Pantograph,35
33,193,Urban,294,78,207,Mini Bus,Pantograph,32
55,230,Highway,440,105,331,Double Decker Bus,Fast DC,76
32,155,Rural,390,81,313,Standard City Bus,Fast DC,51
36,234,Urban,336,96,263,Mini Bus,Pantograph,31
33,152,Rural,281,85,197,Mini Bus,Depot,29
30,237,Urban,418,76,298,Standard City Bus,Depot,57
33,182,Rural,480,83,379,Double Decker Bus,Pantograph,83
47,233,Highway,305,92,235,Mini Bus,Pantograph,28
41,286,Highway,415,98,307,Standard City Bus,Pantograph,63
25,173,Rural,299,80,239,Mini Bus,Depot,27
30,199,Rural,419,77,306,Standard City Bus,Pantograph,50
46,244,Highway,448,94,363,Double Decker Bus,Fast DC,72
39,196,Urban,459,97,352,Articulated Bus,Fast DC,92
28,198,Rural,338,78,264,Mini Bus,Depot,30
38,231,Urban,401,98,281,Articulated Bus,Pantograph,85
42,241,Highway,471,92,342,Double Decker Bus,Depot,72
50,235,Highway,288,107,230,Mini Bus,Fast DC,27
25,195,Rural,419,71,299,Articulated Bus,Pantograph,93
30,166,Rural,393,90,295,Standard City Bus,Depot,58
42,261,Highway,470,102,363,Double Decker Bus,Fast DC,70
40,278,Highway,431,96,326,Articulated Bus,Pantograph,94
52,246,Highway,315,110,240,Mini Bus,Fast DC,28
27,174,Rural,293,84,223,Mini Bus,Fast DC,29
33,185,Rural,445,84,373,Articulated Bus,Pantograph,95
30,202,Urban,455,75,382,Double Decker Bus,Pantograph,81
34,174,Urban,382,94,276,Standard City Bus,Fast DC,58
51,270,Highway,405,96,341,Standard City Bus,Fast DC,55
26,134,Rural,285,79,223,Mini Bus,Fast DC,35
43,295,Highway,445,95,340,Double Decker Bus,Pantograph,84
26,139,Rural,451,82,360,Articulated Bus,Depot,83
50,230,Highway,410,109,305,Articulated Bus,Fast DC,86
29,159,Rural,414,86,297,Articulated Bus,Pantograph,87
50,280,Highway,290,103,234,Mini Bus,Pantograph,35
45,273,Highway,456,98,386,Double Decker Bus,Fast DC,85
32,239,Urban,463,89,376,Double Decker Bus,Depot,73
40,213,Urban,419,93,333,Articulated Bus,Depot,92
44,250,Highway,441,102,356,Articulated Bus,Fast DC,90
40,220,Highway,443,88,354,Articulated Bus,Depot,81
41,276,Highway,429,94,302,Double Decker Bus,Fast DC,71
30,167,Rural,412,84,298,Standard City Bus,Depot,56
25,175,Rural,314,80,246,Mini Bus,Pantograph,34
34,195,Rural,404,79,303,Standard City Bus,Pantograph,51
35,240,Urban,454,88,353,Double Decker Bus,Depot,83
40,264,Highway,305,90,237,Mini Bus,Pantograph,33
41,276,Highway,427,95,325,Articulated Bus,Depot,93
40,203,Urban,292,95,207,Mini Bus,Fast DC,33
25,130,Rural,473,72,398,Double Decker Bus,Fast DC,78
30,152,Rural,377,83,311,Standard City Bus,Pantograph,50
29,189,Rural,444,79,331,Articulated Bus,Fast DC,92
29,168,Rural,436,83,336,Articulated Bus,Depot,95
29,187,Rural,444,81,342,Double Decker Bus,Depot,70
40,281,Highway,405,88,295,Articulated Bus,Depot,87
46,266,Highway,394,105,287,Standard City Bus,Pantograph,51
34,179,Urban,282,83,203,Mini Bus,Fast DC,35
30,193,Rural,436,90,335,Articulated Bus,Pantograph,84
34,191,Urban,394,88,307,Standard City Bus,Fast DC,58
34,233,Urban,320,90,259,Mini Bus,Depot,31
29,195,Rural,413,76,337,Articulated Bus,Fast DC,93
50,293,Highway,321,96,241,Mini Bus,Fast DC,34
50,299,Highway,372,97,306,Standard City Bus,Depot,53
25,147,Rural,440,81,332,Double Decker Bus,Depot,74
39,176,Urban,306,98,217,Mini Bus,Pantograph,30
28,164,Rural,302,87,226,Mini Bus,Fast DC,29
31,223,Urban,399,79,331,Articulated Bus,Fast DC,86
51,242,Highway,366,106,304,Standard City Bus,Pantograph,54
55,228,Highway,457,105,335,Double Decker Bus,Depot,78
27,199,Rural,453,76,366,Articulated Bus,Fast DC,89
55,233,Highway,422,104,323,Double Decker Bus,Depot,74
26,157,Rural,297,72,212,Mini Bus,Fast DC,27
33,187,Rural,414,78,310,Standard City Bus,Depot,59
32,195,Rural,287,92,222,Mini Bus,Fast DC,31
50,255,Highway,306,105,227,Mini Bus,Fast DC,32
41,259,Highway,364,97,298,Standard City Bus,Fast DC,52
45,296,Highway,419,91,333,Standard City Bus,Depot,55
40,170,Urban,416,91,297,Standard City Bus,Depot,55
31,183,Urban,434,85,352,Double Decker Bus,Fast DC,83
30,165,Rural,420,85,295,Articulated Bus,Pantograph,85
46,232,Highway,472,101,377,Double Decker Bus,Depot,85
26,182,Rural,407,74,341,Standard City Bus,Pantograph,52
39,198,Urban,427,89,301,Double Decker Bus,Fast DC,75
39,214,Urban,437,89,348,Double Decker Bus,Pantograph,74
32,235,Urban,441,85,374,Articulated Bus,Pantograph,89
54,296,Highway,360,105,288,Standard City Bus,Pantograph,63
44,256,Highway,365,102,289,Standard City Bus,Depot,55
46,253,Highway,338,106,248,Mini Bus,Pantograph,26
44,247,Highway,295,93,225,Mini Bus,Depot,34
36,225,Urban,447,95,314,Articulated Bus,Fast DC,93
40,203,Urban,406,100,331,Standard City Bus,Depot,65
48,260,Highway,335,97,236,Mini Bus,Depot,28
30,163,Rural,437,79,326,Double Decker Bus,Depot,81
27,164,Rural,302,81,246,Mini Bus,Fast DC,27
44,291,Highway,453,102,364,Articulated Bus,Fast DC,90
52,280,Highway,390,101,273,Standard City Bus,Pantograph,58
44,293,Highway,419,103,344,Articulated Bus,Fast DC,91
36,237,Urban,399,91,306,Standard City Bus,Depot,62
35,161,Rural,428,84,302,Double Decker Bus,Fast DC,74
25,146,Rural,455,71,362,Articulated Bus,Depot,81
47,261,Highway,469,103,396,Double Decker Bus,Fast DC,74
33,229,Urban,330,93,231,Mini Bus,Depot,32
32,180,Urban,410,77,289,Articulated Bus,Fast DC,93
35,187,Urban,384,91,320,Standard City Bus,Fast DC,62
26,186,Rural,330,80,231,Mini Bus,Pantograph,32
34,175,Rural,402,80,321,Standard City Bus,Pantograph,58
31,198,Rural,448,85,370,Double Decker Bus,Depot,77
31,218,Urban,297,87,211,Mini Bus,Pantograph,25
25,164,Rural,456,80,333,Double Decker Bus,Pantograph,81
46,264,Highway,446,106,331,Double Decker Bus,Fast DC,79
30,220,Urban,443,90,351,Articulated Bus,Depot,86
33,208,Urban,439,81,309,Articulated Bus,Pantograph,85
32,210,Urban,380,86,301,Standard City Bus,Depot,65
32,177,Urban,328,78,254,Mini Bus,Pantograph,30
55,248,Highway,309,103,236,Mini Bus,Depot,25
31,196,Urban,387,80,314,Standard City Bus,Fast DC,51
26,136,Rural,308,75,249,Mini Bus,Fast DC,33
55,300,Highway,433,110,325,Double Decker Bus,Fast DC,84
43,272,Highway,467,101,376,Double Decker Bus,Depot,75
35,171,Rural,432,86,321,Articulated Bus,Pantograph,80
34,203,Urban,455,87,365,Double Decker Bus,Fast DC,81
26,156,Rural,340,76,282,Mini Bus,Fast DC,32
32,186,Rural,379,79,303,Standard City Bus,Depot,64
33,218,Urban,453,79,337,Double Decker Bus,Depot,78
28,141,Rural,427,87,321,Double Decker Bus,Pantograph,82
33,205,Urban,447,90,347,Articulated Bus,Depot,86
33,176,Rural,404,79,318,Standard City Bus,Depot,54
25,134,Rural,409,73,331,Standard City Bus,Pantograph,55
31,198,Rural,327,85,240,Mini Bus,Depot,29
41,274,Highway,424,93,360,Double Decker Bus,Depot,73
53,248,Highway,477,102,389,Double Decker Bus,Pantograph,82
36,219,Urban,480,91,378,Double Decker Bus,Pantograph,76
34,229,Urban,392,81,325,Articulated Bus,Fast DC,88
26,187,Rural,396,79,278,Articulated Bus,Fast DC,85
32,156,Rural,445,81,349,Articulated Bus,Pantograph,82
52,228,Highway,432,108,347,Double Decker Bus,Pantograph,84
34,176,Urban,306,82,243,Mini Bus,Depot,25
34,213,Urban,318,93,232,Mini Bus,Depot,29
37,234,Urban,327,94,267,Mini Bus,Pantograph,26
49,253,Highway,385,101,322,Standard City Bus,Pantograph,61
26,134,Rural,394,82,275,Standard City Bus,Pantograph,63
52,265,Highway,362,102,257,Standard City Bus,Fast DC,57
